event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,inter2,interaction,civilian_targeting,region,country,location,notes,check,fatalities,perpetrator,is_lethal
YEM35674,2015-06-20,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sanaa - Sanaa International Airport,"Fifteen people, including five women and children, were killed on Saturday 20th of June by Saudi airstrikes in the governorates of Sa'ada, Sana a and Marib.",1,5,Other/Non-State,1
YEM35752,2015-06-22,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Haydan,Saudi-led coalition air strikes on Haydan district in Sa'ada province killed two women and a child on Monday.,1,3,Other/Non-State,1
YEM35965,2015-06-29,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,At Tawilah,"At least six people were killed, including children, in two air strikes carried out by Saudi-led coalition forces in Al-Saila, Hasn Al Makheer and Shamat areas of At Tawilah district and al Ahjar in Shibam district in Al-Mahwit Province. Fatalities split between the two events.",1,3,Other/Non-State,1
YEM35966,2015-06-29,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Ahjar,"At least six people were killed, including children, in two air strikes carried out by Saudi-led coalition forces in Al-Saila, Hasn Al Makheer and Shamat areas of At Tawilah district and al Ahjar in Shibam district in Al-Mahwit Province. Fatalities split between the two events.",1,3,Other/Non-State,1
YEM36039,2015-07-02,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Al Khafji,"On 2 July 2015, Saudi-led Arab coalition forces bombed two houses in Al Al-Zaraa neighbourhood in Sahaar District. The airstrike killed 7 civilians including 3 children.",1,7,Other/Non-State,1
YEM36055,2015-07-03,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sanaa - Al Jiraf,3 children and a woman were killed on July 3 by Saudi-led coalition air strikes on Al-Jeraf area in the capital Sanaa'a,1,4,Other/Non-State,1
YEM36176,2015-07-09,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Tahrur,"On 9 July 2015, Saudi-led coalition air strikes targeted a school killing 10 family members in Tahrur village, including four children and five women, and injuring 10 others.",1,10,Other/Non-State,1
SOM17855,2015-07-12,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Kenya (2013-2022),,8,Civilians (Somalia),7,78,Civilian targeting,Eastern Africa,Somalia,Belet Xaawo,Reports confirm that KDF conducted an airstrike against Dhamase village (103 KM NW of Buulo Xaawo) in the early morning of 12/07. Residents report that at least 10 people are reported to have been killed including children who were in Holy Quran School. Dhamase is under control of al Shabaab but usually has no permanent presence in the village and clan clashes between Murule and Marehan are reported in the area. The reason is unclear why KDF bombed the village. KDF also bombed Nus Dariiq (83 KM SW of Bulo Xawo) and Laan Qurac (76 KM SW of Bulo Xawo) was bombarded and civilian casualties and livestock death were reported.,1,10,Kenya,1
SOM17856,2015-07-12,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Kenya (2013-2022),,8,Civilians (Somalia),7,78,Civilian targeting,Eastern Africa,Somalia,Dhamase,Reports confirm that KDF conducted an airstrike against Dhamase village (103 KM NW of Buulo Xaawo) in the early morning of 12/07. Residents report that at least 10 people are reported to have been killed including children who were in Holy Quran School. Dhamase is under control of al Shabaab but usually has no permanent presence in the village and clan clashes between Murule and Marehan are reported in the area. The reason is unclear why KDF bombed the village. KDF also bombed Nus Dariiq (83 KM SW of Bulo Xawo) and Laan Qurac (76 KM SW of Bulo Xawo) was bombarded and civilian casualties and livestock death were reported.,1,10,Kenya,1
SOM17870,2015-07-14,2015,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,AMISOM: African Union Mission in Somalia (2007-2022) (Ethiopia),,8,Al Shabaab,2,28,,Eastern Africa,Somalia,Qansax Dheere,"ENDF military operations against Al-Shabaab were continuing in Qansax Dheere and surrounding villages in the morning of 14/07. Mortar fire is heard outside Qansax Dheere. ENDF forces shelled Bulo Gumar village (8 km and Buulo-Masaajid 10Km SW of Qansax Dheere) respectively, said to be military bases for al Shabaab. The artillery/mortar attack from ENDF hit a house in Buulo Gumar Village where two children and their mother were killed; in Buulo-Masaajid village no injuries/dead were reported.",1,3,Ethiopia,1
YEM36311,2015-07-19,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Yarim,"On 19 July 2015, coalition airstrikes over the town of Yarim killed at least 16 civilians, including three women and nine children, and wounded at least 16 others.",1,16,Other/Non-State,1
SOM17965,2015-07-25,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,AMISOM: African Union Mission in Somalia (2007-2022) (Ethiopia),,8,Al Shabaab,2,28,,Eastern Africa,Somalia,Sigle,Attack helicopters (ENDF) bombarded Sigle (approx. 75 KM NE of Buur Hakaba) late afternoon of 24/07. The village was bombarded after some al Shabaab fled from Dalan Doole (approx. 60 KM NE of Buur Hakaba). Reports indicate that many civilians including women and children are killed.,1,10,Ethiopia,1
YEM36461,2015-08-01,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Tuban,"On 1 August 2015, a bomb dropped by the Saudi-led coalition hit three houses in the middle of a residential neighbourhood in Al-Hamra village, Tuban district killing 8 civilians, including 2 children, and injuring 3 others.",1,8,Other/Non-State,1
YEM36596,2015-08-08,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Ar Radmah,"On 8 August 2015, the Saudi-led Arab coalition planes dropped four bombs on Shara'h Village in Al-Radmah District (50 km north-east of Ibb city), killing eight civilians, including three children and injuring 49 others, including 14 children.",1,8,Other/Non-State,1
YEM36620,2015-08-09,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Ar Rahidah,"On 9 August 2015, Saudi-led coalition air strikes targeted Al-Rahidah, located 40 kilometers south of the city of Taiz. The bombs killed a child and injured three civilians, including a child.",1,1,Other/Non-State,1
YEM36635,2015-08-10,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Bani al Haddad,"Saudi-led coalition jets bombed the home of a farmer in Bani Haddad village in Harad of Hajjah Governorate. Nine people, including six children and three women, were killed and six injured.",1,9,Other/Non-State,1
YEM36771,2015-08-17,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Jiblah,"On 17 August 2015, an air strike by the Arab coalition forces caused the death of at least 5 civilians, 3 women and 2 children, and the injury of at least 5 other civilians, in Al-Qarameah neighbourhood, in the Main street in Jeblah located about 6 kilometers to the south of Ibb city.",1,5,Other/Non-State,1
YEM36786,2015-08-18,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Amran,"Coalition airstrikes hit the educational trade union HQ in Amran City, killing at least 11 civilians and injuring dozens more. AP reported 17 civilians killed, 13 teachers and 4 children.",1,11,Other/Non-State,1
YEM36841,2015-08-20,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Taizz - Salah,"On 20 August 2015, Saudi-led coalition air strikes hit a neighbourhood in the east of the city of Taiz in Salah district, killing 65 civilians, including 23 children, and injuring 31 others.",1,65,Other/Non-State,1
YEM51551,2015-09-06,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sanaa - As Sabeen Hospital,"On 6 September 2015, Saudi-led coalition airstrikes reportedly targeted the Maternity and Childhood unit of As Sabin Hospital in Sanaa (As Sabain, Amanat al Asimah), killing two children and injuring medical staff.",1,2,Other/Non-State,1
YEM37296,2015-09-08,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-); Military Forces of the United Arab Emirates (2004-2022),8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Sanaa - As Sabeen Hospital,"On 8 September 2015, Saudi and UAE fighter jets reportedly conducted airstrikes on the Maternity and Childhood unit of As Sabin Hospital and nearby houses in Sanaa (As Sabain, Amanat al Asimah), killing two children.",1,2,Other/Non-State,1
YEM37761,2015-09-23,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Bani Aziz,"3 children were killed and 19 civilians, including 13 children, were injured in a Saudi-led Arab coalition airstrike in Bani Aziz village in Aflah Al-Yemen District located 50 kilometers north of Hajja city",1,3,Other/Non-State,1
SOM18393,2015-09-29,2015,1,Political violence,Violence against civilians,Attack,AMISOM: African Union Mission in Somalia (2007-2022),,8,Civilians (Somalia),7,78,Civilian targeting,Eastern Africa,Somalia,Mogadishu - Shibis,AMISOM forces shoot and kill a young boy playing football near Mogadishu Stadium when he went to retrieve a ball near them.,1,1,Somalia,1
YEM37958,2015-09-30,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Bani Bahr,"On 30 September 2015, coalition airstrikes reportedly targeted a civilian's house in Bani Bahr area, Saqayn district, killing 4 civilians and among them 1 children, destroying the house and causing material damages to other houses.",1,4,Other/Non-State,1
YEM38032,2015-10-03,2015,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Civilians (Yemen),7,78,Civilian targeting,Middle East,Yemen,Bani Siyah,"On 3 October 2015, coalition airstrikes reportedly targeted the Bani Siyah area of Razih district, killing 3 civilians (1 woman and 2 children) and injuring others.",1,3,Other/Non-State,1
